Age,Year,Salaries,P.Pension,S.Pension,Index Funds,Shares,Cash,P.Contrib,IT,PRSI,USC,CGT,Inflows,Outflows,Pension,Cash,R.Estate,Index Funds,Shares,Withdraw%,Net Worth
30,2026,70000,0,0,0,0,0,2400,5520,2940,1166,0,57974,40000,3600,20000,0,8987,8987,0,41574
31,2027,72000,0,0,0,0,0,2484,5663,3024,1198,0,59631,41200,7506,20600,0,18532,18442,0,65080
32,2028,74061,0,0,0,0,0,2571,5811,3111,1231,0,61338,48801,11738,21218,0,25788,25508,0,84252
33,2029,76185,0,0,0,0,0,2661,5963,3200,1265,0,63097,50265,16316,21855,0,33691,33136,0,104997
34,2030,78374,0,0,0,0,0,2754,6120,3292,1300,0,64909,51773,21263,22510,0,42289,41364,0,127426
35,2031,80630,0,0,45249,10149,0,2850,6282,3386,1337,3800,118373,95187,26602,23185,46371,0,33697,0.479,129855
36,2032,82955,0,0,0,4928,0,2950,6449,3484,1378,0,73622,72926,32357,23881,64386,0,30791,0.072,151414
37,2033,85352,0,0,0,4618,0,3053,6621,3585,1420,0,75291,74574,38555,24597,82983,0,28021,0.065,174156
38,2034,87822,0,0,0,4297,0,3160,6798,3689,1463,0,77009,76271,45223,25335,102183,0,25404,0.057,198146
39,2035,90369,0,0,0,3967,0,3271,6981,3795,1508,0,78780,78020,52391,26095,122004,0,22962,0.05,223453
40,2036,92994,0,0,0,4302,0,4232,7001,3906,1554,0,80603,79820,60935,26878,142467,0,20038,0.05,250318
41,2037,95700,0,0,0,3972,0,4380,7190,4019,1602,0,82481,81675,70114,27685,163593,0,17268,0.043,278659
42,2038,98490,0,0,0,3632,0,4533,7385,4137,1651,0,84416,83585,79966,28515,185403,0,14672,0.037,308556
43,2039,101366,0,0,0,3280,0,4692,7587,4257,1702,0,86408,85553,90533,29371,207920,0,12272,0.031,340096
44,2040,104332,0,0,0,2916,0,4856,7794,4382,1755,0,88460,87579,101858,30252,231166,0,10093,0.025,373369
45,2041,107390,0,0,0,2539,0,5026,8009,4510,1809,0,90574,89667,113987,31159,255167,0,8160,0.02,408473
46,2042,110543,0,0,0,2149,0,5202,8231,4643,1866,0,92751,91816,126969,32094,279945,0,6500,0.016,445509
47,2043,113794,0,0,0,1746,0,5384,8459,4779,1924,0,94994,94031,140856,33057,305527,0,5144,0.012,484584
48,2044,117147,0,0,0,1329,0,5572,8695,4920,1984,0,97304,96312,155700,34049,331939,0,4124,0.008,525812
49,2045,120604,0,0,0,0,0,5768,8939,5065,2046,0,98786,98661,171559,34299,359208,0,4372,0,569438
50,2046,124170,0,0,0,2176,0,7163,8952,5215,2110,0,102905,101081,189688,36122,387362,0,2458,0.011,615631
