Age,Year,Salaries,Rentals,RSUs,P.Pension,S.Pension,DBI,Tax Free,Index Funds,Shares,Cash,P.Contrib,IT,PRSI,USC,CGT,Inflows,Outflows,Pension,Cash,R.Estate,Index Funds,Shares,Withdraw%,Net Worth
30,2025,"€70,000",€0,€0,€0,€0,€0,"€2,400","€5,520","€2,940","€1,166",€0,"€57,974","€40,000","€3,600","€20,000",€0,"€8,987","€8,987",0%,"€41,574",,,,
31,2026,"€72,000",€0,€0,€0,€0,€0,"€2,484","€5,663","€3,024","€1,198",€0,"€59,631","€41,200","€7,506","€20,600",€0,"€18,532","€18,442",0%,"€65,080",,,,
32,2027,"€74,061",€0,€0,€0,€0,€0,"€2,571","€5,811","€3,111","€1,231",€0,"€61,338","€48,801","€11,738","€21,218",€0,"€25,788","€25,508",0%,"€84,252",,,,
33,2028,"€76,185",€0,€0,€0,€0,€0,"€2,661","€5,963","€3,200","€1,265",€0,"€63,097","€50,265","€16,316","€21,855",€0,"€33,691","€33,136",0%,"€104,997",,,,
34,2029,"€78,374",€0,€0,€0,€0,€0,"€2,754","€6,120","€3,292","€1,300",€0,"€64,909","€51,773","€21,263","€22,510",€0,"€42,289","€41,364",0%,"€127,426",,,,
35,2030,"€80,630",€0,€0,"€45,249","€10,149",€0,"€2,850","€6,282","€3,386","€1,337","€3,800","€118,373","€95,187","€26,602","€23,185","€46,371",€0,"€33,697",47.9%,"€129,855",,,,
36,2031,"€82,955",€0,€0,€0,"€4,928",€0,"€2,950","€6,449","€3,484","€1,378",€0,"€73,622","€72,926","€32,357","€23,881","€60,107",€0,"€30,791",7.2%,"€147,136",,,,
37,2032,"€85,352",€0,€0,€0,"€4,618",€0,"€3,053","€6,621","€3,585","€1,420",€0,"€75,291","€74,574","€38,555","€24,597","€74,625",€0,"€28,021",6.5%,"€165,798",,,,
38,2033,"€87,822",€0,€0,€0,"€4,297",€0,"€3,160","€6,798","€3,689","€1,463",€0,"€77,009","€76,271","€45,223","€25,335","€89,960",€0,"€25,404",5.7%,"€185,923",,,,
39,2034,"€90,369",€0,€0,€0,"€3,967",€0,"€3,271","€6,981","€3,795","€1,508",€0,"€78,780","€78,020","€52,391","€26,095","€106,148",€0,"€22,962",5%,"€207,597",,,,
40,2035,$51.775.986,$0,$0,$0,$24.340,$26.095,$9.411.824,$16.715.187,$0,$0,$2.652,$18.372.378,$56.442.859,$10.409.286,$0,$57.519.990,$0,$0,0.2%,$67.929.277,,,,
41,2036,$53.187.032,$0,$0,$0,$0,$0,$9.736.858,$17.166.860,$0,$0,$0,$18.837.129,$69.401.928,$21.640.294,$0,$65.925.616,$0,$0,0%,$87.565.910,,,,
