# FinSim v2.0 Save File
# Parameters
StartingAge,30
TargetAge,90
InitialSavings,20000
InitialPension,0
RetirementAge,65
EmergencyStash,20000
PensionContributionPercentage,30%
PensionContributionCapped,Yes
PensionGrowthRate,5%
PensionGrowthStdDev,10%
Inflation,3%
MarriageYear,2025
YoungestChildBorn,0
OldestChildBorn,2027
PersonalTaxCredit,4000
StatePensionWeekly,300
PriorityCash,1
PriorityPension,2
PriorityFunds,4
PriorityShares,5
P2StartingAge,28
P2RetirementAge,65
P2StatePensionWeekly,400
InitialPensionP2,0
PensionContributionPercentageP2,25%
simulation_mode,couple
economy_mode,montecarlo
investmentStrategiesEnabled,true
perCountryInvestmentsEnabled,true
Priority_cash,1
Priority_pension,2
Priority_indexFunds,4
Priority_shares,5
Priority_merval,6
Priority_cedear,3
InitialCapital_indexFunds_ie,0
InitialCapital_shares_ie,0
shares_ieGrowthRate,6%
shares_ieGrowthStdDev,15%
InitialCapital_rsu_ie,
GlobalAssetGrowth_globalEquity,7%
GlobalAssetVolatility_globalEquity,15%
GlobalAssetGrowth_globalBonds,3%
GlobalAssetVolatility_globalBonds,5%
PensionGrowth_ie,5%
PensionVolatility_ie,5%
Inflation_ie,3%
LocalAssetGrowth_ie_shares,6%
LocalAssetVolatility_ie_shares,15%
PensionGrowth_ar,3%
PensionVolatility_ar,10%
Inflation_ar,30%
LocalAssetGrowth_ar_merval,4%
LocalAssetVolatility_ar_merval,20%
InvestmentAllocation_indexFunds_ie,50%
InvestmentAllocation_shares_ie,50%
InvestmentAllocation_rsu_ie,
InvestmentAllocation_merval_ar,50%
InvestmentAllocation_cedear_ar,50%
InvestmentAllocation_ie_rsu,
InvestmentAllocation_ie_indexfunds,0%
InvestmentAllocation_ie_shares,50%
InvestmentAllocation_ar_cedear,50%
InvestmentAllocation_ar_merval,0%
InvestmentAllocation_indexfunds_ie,0%
StatePension_ie,300
StatePension_ar,1000
P2StatePension_ie,400
P2StatePension_ar,2000
P1PensionContrib_ie,30%
P2PensionContrib_ie,25%
PensionCapped_ie,Yes
TaxCredit_personal_ie,4000
MixConfig_ie_indexFunds_asset1,globalEquity
MixConfig_ie_indexFunds_asset2,
MixConfig_ie_indexFunds_type,
MixConfig_ie_indexFunds_startAge,
MixConfig_ie_indexFunds_targetAge,
MixConfig_ie_indexFunds_targetAgeOverridden,
MixConfig_ie_pensionP1_asset1,globalEquity
MixConfig_ie_pensionP1_asset2,
MixConfig_ie_pensionP1_type,
MixConfig_ie_pensionP1_startAge,
MixConfig_ie_pensionP1_targetAge,
MixConfig_ie_pensionP1_targetAgeOverridden,
MixConfig_ie_pensionP2_asset1,globalEquity
MixConfig_ie_pensionP2_asset2,
MixConfig_ie_pensionP2_type,
MixConfig_ie_pensionP2_startAge,
MixConfig_ie_pensionP2_targetAge,
MixConfig_ie_pensionP2_targetAgeOverridden,
MixConfig_ar_cedear_asset1,globalEquity
MixConfig_ar_cedear_asset2,
MixConfig_ar_cedear_type,
MixConfig_ar_cedear_startAge,
MixConfig_ar_cedear_targetAge,
MixConfig_ar_cedear_targetAgeOverridden,
MixConfig_ie_indexFunds_startAsset1Pct,
MixConfig_ie_indexFunds_startAsset2Pct,
MixConfig_ie_indexFunds_endAsset1Pct,
MixConfig_ie_indexFunds_endAsset2Pct,
MixConfig_ie_pensionP1_startAsset1Pct,
MixConfig_ie_pensionP1_startAsset2Pct,
MixConfig_ie_pensionP1_endAsset1Pct,
MixConfig_ie_pensionP1_endAsset2Pct,
MixConfig_ie_pensionP2_startAsset1Pct,
MixConfig_ie_pensionP2_startAsset2Pct,
MixConfig_ie_pensionP2_endAsset1Pct,
MixConfig_ie_pensionP2_endAsset2Pct,
MixConfig_ar_cedear_startAsset1Pct,
MixConfig_ar_cedear_startAsset2Pct,
MixConfig_ar_cedear_endAsset1Pct,
MixConfig_ar_cedear_endAsset2Pct,
StartCountry,ie

# Events
Type,Name,Amount,FromAge,ToAge,Rate,Extra,Meta
SI,You,40000,30,40,0.035,0.03,linkedEventId=split_1762624764068_cmuo82pdo
SI2np,Your Partner,30000,30,40,0.02,0,linkedEventId=split_1762624772055_tlitwyl80
E,Life,40000,30,40,,,linkedEventId=split_1762624789954_fgc7fmqve
E,Kid,6000,32,40,,,linkedEventId=split_1762624796604_1zr4xkn8q
R,Family House,40000,35,70,,,currency=EUR;linkedCountry=ie
M,Family House,18000,35,60,0.035,,currency=EUR;linkedCountry=ie
MV-AR,hola,0,40,,,,
E,Kid,3334610,40,52,,,currency=ARS;linkedEventId=split_1762624796604_1zr4xkn8q;resolved=1
E,Life,22230730,40,100,,,currency=ARS;linkedEventId=split_1762624789954_fgc7fmqve;resolved=1
SI2np,Your Partner,20673048,40,64,,0,currency=ARS;linkedEventId=split_1762624772055_tlitwyl80
SI,You,30230730,40,64,,0.03,currency=ARS;linkedEventId=split_1762624764068_cmuo82pdo;resolved=1
R,Downsize,255615112,70,100,,,currency=ARS;linkedCountry=ar
SM,Crash,,70,72,-0.25,,
