Age,Year,Salaries,S.Pension,Index Funds ...,Shares (IE),Cash,,P.Contrib,IT,PRSI,USC,CGT,Inflows,Outflows,Pension,Cash,R.Estate,Index Funds (IE),Shares (IE),Withdraw%,Net Worth
30,2026,70000,0,0,0,0,,2400,5520,2940,1166,0,57974,40000,3600,20000,0,8987,8987,0,41574
31,2027,72000,0,0,0,0,,2484,5663,3024,1198,0,59631,41200,7506,20600,0,18532,18442,0,65080
32,2028,74061,0,0,0,0,,2571,5811,3111,1231,0,61338,48801,11738,21218,0,25788,25508,0,84252
33,2029,76185,0,0,0,0,,2661,5963,3200,1265,0,63097,50265,16316,21855,0,33691,33136,0,104997
34,2030,78374,0,0,0,0,,2754,6120,3292,1300,0,64909,51773,21263,22510,0,42289,41364,0,127426
35,2031,80630,0,45249,10149,0,,2850,6282,3386,1337,3800,118373,95187,26602,23185,46371,0,33697,0.479,129855
36,2032,82955,0,0,4928,0,,2950,6449,3484,1378,0,73622,72926,32357,23881,60107,0,30791,0.072,147136
37,2033,85352,0,0,4618,0,,3053,6621,3585,1420,0,75291,74574,38555,24597,74625,0,28021,0.065,165798
38,2034,87822,0,0,4297,0,,3160,6798,3689,1463,0,77009,76271,45223,25335,89960,0,25404,0.057,185923
39,2035,90369,0,0,3967,0,,3271,6981,3795,1508,0,78780,78020,52391,26095,106148,0,22962,0.05,207597
Age,Year,Salaries,P.Pension,S.Pension,Global USD E...,Shares (IE),Cash,P.Contrib,Ganancias,ANSES,Obra Social,Capital Gains Tax,Inflows,Outflows,Pension,Cash,R.Estate,Index Funds (IE),Shares (IE),Withdraw%,Net Worth
40,2036,1613242618,0,0,0,291033360,113933050,84940,554368264,177456688,48397279,31713415,1206188442,1206188442,657937088,14938121,1473432152,0,0,0.307,2329462479
41,2037,630141483,0,0,225160105,0,14938121,0,207644338,69315563,18904244,0,506827533,579136844,843085695,0,2060931637,0,0,0.211,2904017332
42,2038,792087844,0,0,0,0,0,0,261008932,87129663,23762635,0,420186614,718358535,1080336558,0,2853087135,0,0,0,3933423693
43,2039,995654420,0,0,0,0,0,0,328088228,109521986,29869633,0,528174573,891240841,1384351656,0,3916288087,0,0,0,5300639743
44,2040,1251537606,0,0,0,0,0,0,412406902,137669137,37546128,0,663915439,1105967458,1773918965,0,5337530775,0,0,0,7111449740
45,2041,1573182771,0,0,0,0,0,0,518395476,173050105,47195483,0,834541707,1372722351,2273113540,0,7230625294,0,0,0,9503738833
46,2042,1977490743,0,0,0,0,0,0,651623114,217523982,59324722,0,1049018925,1704181142,2912785345,0,9744231824,0,0,0,12657017169
47,2043,2485705864,0,0,0,0,0,0,819090254,273427645,74571176,0,1318616789,2116123769,3732465764,0,13072256541,0,0,0,16804722306
48,2044,3124532271,0,0,0,0,0,0,1029596449,343698550,93735968,0,1657501304,2628198519,4782810621,0,17467289196,0,0,0,22250099816
49,2045,3927537065,0,0,0,0,0,0,1294202737,432029077,117826112,0,2083479139,3264874949,6128730677,0,23257959162,0,0,0,29386689839
50,2046,4936914090,0,0,0,0,0,0,1626812840,543060550,148107423,0,2618933278,4056632635,7853403092,0,30871336507,0,0,0,38724739598
51,2047,6205701012,0,0,0,0,0,0,2044903740,682627111,186171030,0,3291999130,5041444333,10063411719,0,40861824862,0,0,0,50925236581
52,2048,7800566172,0,0,0,0,0,0,2570444001,858062279,234016985,0,4138042906,6266626778,12895333939,0,53948403327,0,0,0,66843737266
53,2049,9805311678,0,0,0,0,0,0,3231048110,1078584285,294159350,0,5201519933,7148823239,16524181067,0,71062600452,0,0,0,87586781520
54,2050,12325276779,0,0,0,0,0,0,4061427474,1355780446,369758303,0,6538310556,8881118341,21174213963,0,93410256809,0,0,0,114584470772
55,2051,15492872911,0,0,0,0,0,0,5105214335,1704216020,464786187,0,8218656369,11035482981,27132802232,0,122550994836,0,0,0,149683797068
56,2052,19474541249,0,0,0,0,0,0,6417254418,2142199537,584236237,0,10330851056,13715291384,34768183520,0,160500418157,0,0,0,195268601678
57,2053,24479498350,0,0,0,0,0,0,8066488804,2692744819,734384951,0,12985879777,17049361483,44552220407,0,209861474407,0,0,0,254413694814
58,2054,30770729426,0,0,0,0,0,0,10139576427,3384780237,923121883,0,16323250880,21198246363,57089561266,0,273993221450,0,0,0,331082782717
59,2055,38678806889,0,0,0,0,0,0,12745447568,4254668758,1160364207,0,20518326356,26362088025,73155007221,0,357227545951,0,0,0,430382553172
60,2056,48619260259,0,0,0,0,0,0,16021027593,5348118629,1458577808,0,25791536230,32790422978,93741394447,0,465147334962,0,0,0,558888729409
61,2057,61114410146,0,0,0,0,0,0,20138431685,6722585116,1833432304,0,32419961041,26689923704,120120950933,1821112653,584690200047,0,0,0,710541188316
62,2058,76820813553,0,0,0,0,0,0,25314008628,8450289491,2304624407,0,40751891028,33549234096,153923919504,2289138604,734955581459,0,0,0,902708672144
63,2059,96563762637,0,0,0,0,0,0,31819708845,10622013890,2896912879,0,51225127022,42171387259,197239305978,2877447226,923839165894,0,0,0,1146607986070
64,2060,121380649634,0,0,0,0,0,0,39997374019,13351871460,3641419489,0,64389984667,53009433784,252743978636,3616951163,1161265831528,0,0,0,1456114924196
65,2061,0,46694796136,35967973,47315078770,0,0,0,13218460982,0,0,0,66632858266,66632858266,196206276826,4546507612,1459711150231,0,0,0.335,1740501402541
66,2062,0,10056809882,95949986959,0,0,0,0,971632043,0,0,0,105035164798,83757502841,241363437175,5714960068,1834856915840,0,0,0.03,2200437867825
67,2063,0,12371399323,120722795927,0,0,0,0,1180839874,0,0,0,131913355376,105283181071,296913583741,7183704805,2306415143211,0,0,0.028,2781353917062
68,2064,0,15218694893,353794213383,0,0,0,0,1434492613,0,0,0,367578415663,132340958606,365248677438,9029916940,2899163835017,0,0,0.026,3716856126198
69,2065,0,18721299686,444719326222,0,0,0,0,1741867245,0,0,0,461698758663,166352584968,449311192466,11350605594,3644248940616,0,0,0.019,4943042885809
70,2066,0,23030034073,559012193062,0,0,0,0,2114131183,0,0,0,579928095952,209105199305,552720817748,14267711232,2404349697025,0,0,0.015,6546065496824
71,2067,0,30642742662,702678326678,0,0,0,0,2911561371,0,0,0,730409507969,262845235526,582212110582,17934513018,3022267569160,0,0,0.007,8079033487945
72,2068,0,32277734629,883266656635,0,0,0,0,2758666848,0,0,0,912785724416,330396461057,613276957956,22543682864,3798990334434,0,0,0.006,9990324969969
