Age,Year,Salaries,Rentals,RSUs,P.Pension,S.Pension,DBI,Tax Free,Index Funds,Shares,Cash,P.Contrib,IT,PRSI,USC,CGT,Inflows,Outflows,Pension,Cash,R.Estate,Index Funds,Shares,Withdraw%,Net Worth
30,2025,"€70,000",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€2,400","€5,520","€2,940","€1,166",€0,"€57,974","€40,000","€3,600","€20,000",€0,"€8,987","€8,987",0%,"€41,574"
31,2026,"€72,000",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€2,484","€5,663","€3,024","€1,198",€0,"€59,631","€41,000","€7,506","€20,600",€0,"€18,632","€18,542",0%,"€65,280"
32,2027,"€74,061",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€2,571","€5,811","€3,111","€1,231",€0,"€61,338","€48,329","€11,738","€21,218",€0,"€26,132","€25,850",0%,"€84,938"
33,2028,"€76,185",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€2,661","€5,963","€3,200","€1,265",€0,"€63,097","€49,537","€16,316","€21,855",€0,"€34,423","€33,863",0%,"€106,456"
34,2029,"€78,374",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€2,754","€6,120","€3,292","€1,300",€0,"€64,909","€50,775","€21,263","€22,510",€0,"€43,571","€42,633",0%,"€129,977"
35,2030,"€80,630",€0,€0,€0,€0,€0,€0,"€46,621","€6,109",€0,"€2,850","€6,282","€3,386","€1,337","€3,528","€115,976","€92,791","€26,602","€23,185","€45,256",€0,"€39,082",44.5%,"€134,125"
36,2031,"€82,955",€0,€0,€0,€0,€0,€0,€0,"€3,347",€0,"€2,950","€6,449","€3,484","€1,378",€0,"€72,042","€71,346","€32,357","€23,881","€58,959",€0,"€38,080",4.5%,"€153,277"
37,2032,"€85,352",€0,€0,€0,€0,€0,€0,€0,"€2,723",€0,"€3,053","€6,621","€3,585","€1,420",€0,"€73,396","€72,680","€38,555","€24,597","€73,442",€0,"€37,642",3.5%,"€174,237"
38,2033,"€87,822",€0,€0,€0,€0,€0,€0,€0,"€2,072",€0,"€3,160","€6,798","€3,689","€1,463",€0,"€74,784","€74,047","€45,223","€25,335","€88,742",€0,"€37,828",2.4%,"€197,128"
39,2034,"€90,369",€0,€0,€0,€0,€0,€0,€0,"€1,395",€0,"€3,271","€6,981","€3,795","€1,508",€0,"€76,208","€75,448","€52,391","€26,095","€104,894",€0,"€38,703",1.5%,"€222,083"
