Age,Year,Salaries,Rentals,RSUs,P.Pension,S.Pension,DBI,Tax Free,Index Funds,Shares,Cash,P.Contrib,IT,PRSI,USC,CGT,Inflows,Outflows,Pension,Cash,R.Estate,Index Funds,Shares,Withdraw%,Net Worth
30,2025,"€70,000",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€2,400","€5,520","€2,940","€1,166",€0,"€57,974","€40,000","€3,600","€20,000",€0,"€8,987","€8,987",0%,"€41,574"
31,2026,"€72,000",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€2,484","€5,663","€3,024","€1,198",€0,"€59,631","€41,200","€7,506","€20,600",€0,"€18,532","€18,442",0%,"€65,080"
32,2027,"€74,061",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€2,571","€5,811","€3,111","€1,231",€0,"€61,338","€48,801","€11,738","€21,218",€0,"€25,788","€25,508",0%,"€84,252"
33,2028,"€76,185",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€2,661","€5,963","€3,200","€1,265",€0,"€63,097","€50,265","€16,316","€21,855",€0,"€33,691","€33,136",0%,"€104,997"
34,2029,"€78,374",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€2,754","€6,120","€3,292","€1,300",€0,"€64,909","€51,773","€21,263","€22,510",€0,"€42,289","€41,364",0%,"€127,426"
35,2030,"€80,630",€0,€0,€0,€0,€0,€0,"€45,249","€10,149",€0,"€2,850","€6,282","€3,386","€1,337","€3,800","€118,373","€95,187","€26,602","€23,185","€46,371",€0,"€33,697",47.9%,"€129,855"
36,2031,"€82,955",€0,€0,€0,€0,€0,€0,€0,"€4,928",€0,"€2,950","€6,449","€3,484","€1,378",€0,"€73,622","€72,926","€32,357","€23,881","€60,107",€0,"€30,791",7.2%,"€147,136"
37,2032,"€85,352",€0,€0,€0,€0,€0,€0,€0,"€4,618",€0,"€3,053","€6,621","€3,585","€1,420",€0,"€75,291","€74,574","€38,555","€24,597","€74,625",€0,"€28,021",6.5%,"€165,798"
38,2033,"€87,822",€0,€0,€0,€0,€0,€0,€0,"€4,297",€0,"€3,160","€6,798","€3,689","€1,463",€0,"€77,009","€76,271","€45,223","€25,335","€89,960",€0,"€25,404",5.7%,"€185,923"
39,2034,"€90,369",€0,€0,€0,€0,€0,€0,€0,"€3,967",€0,"€3,271","€6,981","€3,795","€1,508",€0,"€78,780","€78,020","€52,391","€26,095","€106,148",€0,"€22,962",5%,"€207,597"
40,2035,"€92,994",€0,€0,€0,€0,€0,€0,€0,"€4,302",€0,"€4,232","€7,001","€3,906","€1,554",€0,"€80,603","€79,820","€60,935","€26,878","€123,226",€0,"€20,038",5%,"€231,078"
41,2036,"€95,700",€0,€0,€0,€0,€0,€0,€0,"€3,972",€0,"€4,380","€7,190","€4,019","€1,602",€0,"€82,481","€81,675","€70,114","€27,685","€141,234",€0,"€17,268",4.3%,"€256,300"
42,2037,"€98,490",€0,€0,€0,€0,€0,€0,€0,"€3,632",€0,"€4,533","€7,385","€4,137","€1,651",€0,"€84,416","€83,585","€79,966","€28,515","€160,211",€0,"€14,672",3.7%,"€283,364"
43,2038,"€101,366",€0,€0,€0,€0,€0,€0,€0,"€3,280",€0,"€4,692","€7,587","€4,257","€1,702",€0,"€86,408","€85,553","€90,533","€29,371","€180,200",€0,"€12,272",3.1%,"€312,376"
44,2039,"€104,332",€0,€0,€0,€0,€0,€0,€0,"€2,916",€0,"€4,856","€7,794","€4,382","€1,755",€0,"€88,460","€87,579","€101,858","€30,252","€201,244",€0,"€10,093",2.5%,"€343,447"
45,2040,"€107,390",€0,€0,€0,€0,€0,€0,€0,"€2,539",€0,"€5,026","€8,009","€4,510","€1,809",€0,"€90,574","€89,667","€113,987","€31,159","€223,388",€0,"€8,160",2%,"€376,694"
46,2041,"€110,543",€0,€0,€0,€0,€0,€0,€0,"€2,149",€0,"€5,202","€8,231","€4,643","€1,866",€0,"€92,751","€91,816","€126,969","€32,094","€246,680",€0,"€6,500",1.6%,"€412,243"
47,2042,"€113,794",€0,€0,€0,€0,€0,€0,€0,"€1,746",€0,"€5,384","€8,459","€4,779","€1,924",€0,"€94,994","€94,031","€140,856","€33,057","€271,168",€0,"€5,144",1.2%,"€450,225"
48,2043,"€117,147",€0,€0,€0,€0,€0,€0,€0,"€1,329",€0,"€5,572","€8,695","€4,920","€1,984",€0,"€97,304","€96,312","€155,700","€34,049","€296,903",€0,"€4,124",0.8%,"€490,776"
49,2044,"€120,604",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€5,768","€8,939","€5,065","€2,046",€0,"€98,786","€98,661","€171,559","€34,299","€323,939",€0,"€4,372",0%,"€534,169"
50,2045,"€124,170",€0,€0,€0,€0,€0,€0,€0,"€2,176",€0,"€7,163","€8,952","€5,215","€2,110",€0,"€102,905","€101,081","€189,688","€36,122","€352,329",€0,"€2,458",1.1%,"€580,598"
51,2046,"€127,847",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€7,414","€9,204","€5,370","€2,176",€0,"€103,683","€103,574","€209,058","€36,341","€382,132",€0,"€2,606",0%,"€630,137"
52,2047,"€131,640",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€7,673","€9,464","€5,529","€2,245",€0,"€106,728","€106,141","€229,742","€37,516","€413,405",€0,"€2,762",0%,"€683,425"
53,2048,"€135,552",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€7,942","€9,733","€5,693","€2,316",€0,"€109,867","€96,943","€251,818","€39,472","€446,211","€5,484","€8,412",0%,"€751,397"
54,2049,"€139,586",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€8,220","€10,011","€5,863","€2,389",€0,"€113,104","€99,312","€275,369","€40,656","€480,613","€12,172","€15,221",0%,"€824,031"
55,2050,"€143,748",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€9,926","€10,014","€6,037","€2,465",€0,"€115,306","€101,751","€301,899","€41,876","€516,678","€19,191","€22,301",0%,"€901,945"
56,2051,"€148,041",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€10,273","€10,301","€6,218","€2,543",€0,"€118,706","€104,264","€330,203","€43,132","€554,474","€27,128","€30,233",0%,"€985,169"
57,2052,"€152,469",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€10,633","€10,597","€6,404","€2,624",€0,"€122,212","€106,852","€360,383","€44,426","€594,073","€36,060","€39,080",0%,"€1,074,021"
58,2053,"€157,038",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€11,005","€10,903","€6,596","€2,708",€0,"€125,826","€109,517","€392,551","€45,759","€635,549","€46,072","€48,913",0%,"€1,168,843"
59,2054,"€161,750",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€11,390","€11,220","€6,794","€2,794",€0,"€129,553","€112,263","€426,823","€47,131","€678,978","€57,256","€59,807",0%,"€1,269,995"
60,2055,"€166,613",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€13,473","€11,210","€6,998","€2,884",€0,"€132,049","€115,090","€465,005","€48,545","€724,441","€69,036","€71,167",0%,"€1,378,195"
