Age,Year,Salaries,Rentals,RSUs,P.Pension,S.Pension,Index Funds,Shares,Cash,IT,PRSI,USC,CGT,Net Income,Expenses,P. Contrib,Savings,P.Fund,Cash,R.Estate,Index Funds,Shares,Withdraw%,Net Worth
30,2025,"€70,000",€0,€0,€0,€0,€0,€0,€0,"€5,520","€2,870","€1,192",€0,"€58,018","€40,000","€3,600","€18,018","€3,600","€20,000",€0,"€9,009","€9,009",0.00%,"€41,618"
31,2026,"€72,000",€0,€0,€0,€0,€0,€0,€0,"€5,663","€2,952","€1,461",€0,"€59,440","€41,200","€3,726","€18,240","€7,505","€20,600",€0,"€18,450","€18,359",0.00%,"€64,915"
32,2027,"€74,061",€0,€0,€0,€0,€0,€0,€0,"€5,811","€3,037","€1,501",€0,"€61,141","€48,801","€3,856","€12,340","€11,743","€21,218",€0,"€25,612","€25,333",0.00%,"€83,906"
33,2028,"€76,185",€0,€0,€0,€0,€0,€0,€0,"€5,963","€3,124","€1,293",€0,"€63,144","€50,265","€3,991","€12,879","€16,318","€21,855",€0,"€33,513","€33,006",0.00%,"€104,692"
34,2029,"€78,374",€0,€0,€0,€0,€0,€0,€0,"€6,120","€3,213","€1,329",€0,"€64,957","€51,773","€4,131","€13,184","€21,270","€22,510",€0,"€42,138","€41,143",0.00%,"€127,061"
35,2030,"€80,630",€0,€0,€0,€0,"€41,846","€9,801",€0,"€6,282","€3,306","€1,366","€3,859","€118,473","€95,187","€4,276",€0,"€26,633","€23,285","€46,371",€8,"€33,212",62.89%,"€129,509"
36,2031,"€82,955",€0,€0,€0,€0,€7,"€4,788",€0,"€6,449","€3,401","€1,404",€118,"€73,546","€72,926","€4,425",€0,"€32,412","€23,881","€60,107",€13,"€30,316",14.48%,"€146,728"
37,2032,"€85,352",€0,€0,€0,€0,€14,"€4,543",€0,"€6,621","€3,499","€1,444",€115,"€75,291","€74,574","€4,580",€0,"€38,614","€24,597","€74,625",€0,"€27,530",15.39%,"€165,366"
38,2033,"€87,822",€0,€0,€0,€0,€0,"€4,231",€0,"€6,798","€3,601","€1,484",€100,"€77,009","€76,271","€4,741",€0,"€45,312","€25,335","€89,960",€0,"€24,826",16.29%,"€185,433"
39,2034,"€90,369",€0,€0,€0,€0,€0,"€3,891",€4,"€6,981","€3,705","€1,526",€84,"€78,780","€78,020","€4,906",€0,"€52,455","€26,091","€106,148",€0,"€22,398",17.42%,"€207,092"
